Date,RELIANCE,TCS,BAJAJ,BHARTIARTL,TATASTEEL,HDFC,CIPLA,HAVELLS
10-02-2020,1412.256836,2111.755371,4703.322266,536.772461,423.11853,1234.9552,443.597809,614.449097
07-02-2020,1410.338379,2086.945313,4636.135254,537.519775,449.051025,1236.846924,442.051819,621.951965
06-02-2020,1434.095825,2078.935303,4648.138672,544.843445,455.343445,1234.457275,438.511017,623.580872
05-02-2020,1424.946899,2096.713379,4510.527832,531.441589,452.912292,1239.286377,446.390533,613.165649
04-02-2020,1403.206299,2058.813721,4501.612793,517.043335,430.841064,1224.500366,447.288239,600.282349
03-02-2020,1362.971436,2053.685791,4342.336914,508.224976,415.729706,1187.65979,443.398315,586.757324
31-01-2020,1388.696289,2030.780029,4348.86084,494.673645,418.256256,1221.015503,445.742218,595.099426
30-01-2020,1420.27417,2088.215088,4347.26709,488.047424,427.647186,1220.766602,449.831604,599.147095
29-01-2020,1455.787354,2104.576172,4401.753906,488.495819,431.127136,1230.524292,460.354279,608.130798
28-01-2020,1447.81897,2133.049072,4196.557617,489.492249,425.454376,1217.928711,463.496124,608.328247
27-01-2020,1482.053101,2118.885986,4148.097656,512.559448,440.899475,1207.971802,463.246796,614.202271
24-01-2020,1496.809204,2132.70752,4178.129883,522.374146,460.873169,1239.18689,457.661285,614.942627
23-01-2020,1502.023071,2140.082031,4109.698242,521.776367,457.869965,1239.485474,463.944946,611.93158
22-01-2020,1508.417358,2150.777588,4126.034668,512.659058,452.912292,1235.502686,470.378265,592.828796
21-01-2020,1508.958374,2115.8396,4122.448242,509.918884,453.961029,1238.987671,472.173584,609.068726
20-01-2020,1507.433716,2115.157471,4136.393555,506.879822,467.785309,1249.492188,478.906097,617.311951
17-01-2020,1555.29248,2162.667725,4215.234863,498.260742,472.170929,1272.641968,479.055695,630.540771
16-01-2020,1512.893311,2181.866699,4203.779297,472.204315,471.360565,1282.101074,479.005829,631.330627
15-01-2020,1499.071777,2170.269531,4190.830078,466.175995,478.701721,1278.715698,482.746124,634.144165
14-01-2020,1504.531494,2150.777588,4176.635742,467.670624,475.364838,1283.943115,482.995483,642.43689
13-01-2020,1518.598999,2134.648682,4148.24707,467.222198,472.647644,1280.45813,476.412567,642.881165
10-01-2020,1522.484741,2157.259033,4128.673828,455.364807,463.542694,1277.172363,472.273315,636.710999
09-01-2020,1522.829102,2158.038574,4108.104492,458.453705,460.634827,1265.921143,468.882141,631.034424
08-01-2020,1488.545776,2197.898193,4034.144287,457.208191,453.102966,1251.881836,463.54599,621.409058
07-01-2020,1499.80957,2149.754639,3992.009277,443.507385,453.913361,1255.167603,467.386017,632.219055
06-01-2020,1477.085083,2144.492188,3981.102051,448.041077,451.196167,1235.602295,465.540802,638.882874
03-01-2020,1512.155518,2144.686768,4177.084473,453.471588,461.15918,1262.934082,468.732544,652.062317
02-01-2020,1510.335571,2102.780273,4229.478516,453.571259,462.255585,1281.204956,472.273315,646.0896
01-01-2020,1485.053467,2112.477783,4214.786133,451.678009,445.952454,1273.090088,474.667114,641.20282
30-12-2019,1519.09082,2127.680664,4226.739258,458.852264,452.626251,1276.624756,478.706635,644.460693
27-12-2019,1517.270874,2142.591553,4236.053223,453.471588,447.620911,1269.505615,479.853638,638.43866
